payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
1,0,0,secret,100000,3116,0.9999854816932195,0.25672721477603827,51.8105618162416,0.17201733589172363
1,0,1,secret,100000,3175,0.9999890105328634,0.2537103968235661,51.91323470833743,0.18401408195495605
1,0,2,secret,100000,3113,0.9999955926508196,0.23872528846636398,52.44203146404801,0.19802117347717285
1,0,3,secret,100000,3178,0.9999952504390744,0.24483551691616978,52.22251162580257,0.20024609565734863
1,0,4,secret,100000,3290,0.9999970448091565,0.22323346409860068,53.02481402766452,0.16722559928894043
1,0,5,secret,100000,3220,0.9999994107786181,0.10312862110525957,59.732415780055334,0.17200565338134766
1,0,6,secret,100000,3240,0.9999832880276305,0.26851212636626254,51.420721924053325,0.17133140563964844
1,0,7,secret,100000,3220,0.9999969346279444,0.1709368977036809,55.343283644415855,0.1586463451385498
1,0,8,secret,100000,3271,0.9999884393186558,0.38873974358778535,48.206821122619886,0.1680142879486084
1,0,9,secret,100000,3000,0.9999902013723041,0.0994682576205508,60.04630979003602,0.17901921272277832
1,0,10,secret,100000,3270,0.9999975000782082,0.19402522968267533,54.242835875669485,0.1830005645751953
1,0,11,secret,100000,3231,0.9999945807291892,0.32448037725940293,49.77623123493871,0.16801691055297852
1,0,12,secret,100000,3015,0.9999953872805899,0.16151812936606885,55.8355744769667,0.1650235652923584
1,0,13,secret,100000,3129,0.9999988422630252,0.08153177700030932,61.7734618408692,0.15246963500976562
1,0,14,secret,100000,3131,0.9999921147550748,0.10639606786601145,59.461488443760985,0.17666125297546387
1,0,15,secret,100000,3262,0.9999965347633145,0.08939194523648981,60.97403224084736,0.16802000999450684
1,0,16,secret,100000,3112,0.9999981774601723,0.09517929933632756,60.42914993180147,0.16802096366882324
1,0,17,secret,100000,2984,0.999991983934322,0.11452241766358126,58.822189844711644,0.16001677513122559
1,0,18,secret,100000,3266,0.9999965626792098,0.1069274432316474,59.418216351486194,0.1510474681854248
1,0,19,secret,100000,3141,0.9999949081937364,0.10272633219994794,59.7663643581805,0.15638232231140137
1,0,20,secret,100000,2988,0.9999970966219235,0.10485107714688166,59.58854207239544,0.15668821334838867
1,0,21,secret,100000,3197,0.9999978057149383,0.20257533101570516,53.86826885533524,0.1680145263671875
1,0,22,secret,100000,3089,0.9999893389136132,0.3437320899964819,49.27559842575495,0.1569967269897461
1,0,23,secret,100000,3251,0.999991302190377,0.4192326402819523,47.550898235062306,0.15799522399902344
1,0,24,secret,100000,3512,0.9999979853129887,0.19852682151246231,54.043616211472674,0.1983945369720459
1,0,25,secret,100000,2939,0.9999884305882768,0.2183227408566042,53.218020502110676,0.15770578384399414
1,0,26,secret,100000,3209,0.999995201279786,0.2568481930528845,51.8064697044905,0.1610121726989746
1,0,27,secret,100000,3300,0.9999983713538138,0.17743968681886776,55.018984754484144,0.16301298141479492
1,0,28,secret,100000,3248,0.9999925363583282,0.34505786200649546,49.24216145835547,0.16301345825195312
1,0,29,secret,100000,3209,0.9999925947390986,0.3475255582954581,49.18026500602333,0.16466760635375977
1,0,30,secret,100000,3306,0.9999959458885695,0.25951774310406905,51.716658885885465,0.1650092601776123
1,0,31,secret,100000,3195,0.9999986887836325,0.12944534519861006,57.75827123998654,0.15701651573181152
1,0,32,secret,100000,3266,0.9999980429664808,0.1945227838345187,54.22059047657454,0.16424059867858887
1,0,33,secret,100000,3284,0.9999920837800148,0.3464429295597679,49.207365952278124,0.1570141315460205
1,0,34,secret,100000,3269,0.9999987272791763,0.15763401537586533,56.047001232354894,0.16202211380004883
1,0,35,secret,100000,2995,0.9999981282209534,0.11791644919832385,58.56851214275211,0.16225385665893555
1,0,36,secret,100000,2993,0.9999958727009536,0.13581647686152468,57.34095079021777,0.16239261627197266
1,0,37,secret,100000,3261,0.999995014632649,0.2810065132838034,51.02567227446549,0.16701102256774902
1,0,38,secret,100000,3194,0.9999818581751543,0.481339768495892,46.35096510491859,0.16301608085632324
1,0,39,secret,100000,3028,0.9999973630164251,0.13332155255717976,57.501992750651695,0.16701340675354004
1,0,40,secret,100000,3274,0.999986105295978,0.3045043976010063,50.32812861956729,0.1696627140045166
1,0,41,secret,100000,3018,0.9999969185478795,0.19744462710393532,54.09109359720776,0.16001200675964355
1,0,42,secret,100000,3021,0.9999951531799229,0.3010784045642988,50.426407879775155,0.16437530517578125
1,0,43,secret,100000,3222,0.9999695780972848,0.4177386556639988,47.581906704187425,0.17059898376464844
1,0,44,secret,100000,3047,0.9999988665139578,0.1435651654483512,56.85901848443578,0.166015625
1,0,45,secret,100000,3015,0.999995495895272,0.2929274947316515,50.66479725398656,0.15655827522277832
1,1,0,secret,100000,5824,0.9999742332587094,0.33952474821758877,49.382571283480445,0.1630244255065918
1,1,1,secret,100000,5956,0.999980491004955,0.3371265424459322,49.4441410703747,0.15801620483398438
1,1,2,secret,100000,5815,0.999992206922132,0.31578213312492603,50.012248918141836,0.16401338577270508
1,1,3,secret,100000,5980,0.9999914961613667,0.325991212742559,49.73588212801863,0.1650090217590332
1,1,4,secret,100000,6321,0.9999945708249821,0.3011382891424555,50.42468042570741,0.16101288795471191
1,1,5,secret,100000,6068,0.9999989518591609,0.13701821636072795,57.264433804459316,0.16429662704467773
1,1,6,secret,100000,6146,0.9999695843381585,0.36092565869638277,48.85164484514171,0.1590127944946289
1,1,7,secret,100000,6144,0.9999942184197524,0.23279185524444718,52.660644370844295,0.1660139560699463
1,1,8,secret,100000,6265,0.9999785188774645,0.5272403960038888,45.559826448953146,0.16370749473571777
1,1,9,secret,100000,5394,0.9999840379050977,0.12594949233491484,57.99607157349433,0.16101956367492676
1,1,10,secret,100000,6287,0.9999952876398028,0.26532768058813416,51.524348788549304,0.16200685501098633
1,1,11,secret,100000,6165,0.9999902593049405,0.43500662610339946,47.230082554781916,0.1629948616027832
1,1,12,secret,100000,5443,0.9999923466224623,0.2071868709152307,53.67275537136655,0.15989112854003906
1,1,13,secret,100000,5842,0.9999979486485918,0.10774062032966251,59.35241056559637,0.15899920463562012
1,1,14,secret,100000,5750,0.999986370180183,0.1389747770023333,57.1412802830766,0.16701340675354004
1,1,15,secret,100000,6165,0.9999936359902891,0.11957799198803101,58.446974874788324,0.1600170135498047
1,1,16,secret,100000,5750,0.999996694870379,0.12738145094740133,57.89787617120513,0.16201114654541016
1,1,17,secret,100000,5345,0.9999863203890488,0.14825847398314337,56.57960948724128,0.15319108963012695
1,1,18,secret,100000,6235,0.9999935599042575,0.14375318768966,56.84765032328073,0.17090868949890137
1,1,19,secret,100000,5790,0.9999913727962059,0.13323834157426379,57.50741563274065,0.18889141082763672
1,1,20,secret,100000,5383,0.9999951405309102,0.13480379321465305,57.40595774221357,0.1630094051361084
1,1,21,secret,100000,6030,0.9999959793035524,0.2716746782833546,51.319016771155816,0.19861531257629395
1,1,22,secret,100000,5728,0.9999815303524131,0.45041503840582314,46.92774235480229,0.16602039337158203
1,1,23,secret,100000,6208,0.9999841958004045,0.5638132352803065,44.97729466926219,0.1570122241973877
1,1,24,secret,100000,6946,0.9999958964002804,0.2804393697288185,51.04322035221308,0.18503475189208984
1,1,25,secret,100000,5239,0.9999807874589931,0.2795616821543239,51.07044709982471,0.2644815444946289
1,1,26,secret,100000,6090,0.9999912351383192,0.3470294563631962,49.19267320198975,0.1876976490020752
1,1,27,secret,100000,6377,0.9999969506953768,0.24248779042739124,52.30620247595627,0.186509370803833
1,1,28,secret,100000,6170,0.9999862328188508,0.4627694628917375,46.692706137671536,0.18301129341125488
1,1,29,secret,100000,6056,0.9999867820261188,0.4600706697351241,46.743509056860695,0.1590104103088379
1,1,30,secret,100000,6352,0.9999924112101046,0.3525751771107547,49.05496534517587,0.17529892921447754
1,1,31,secret,100000,6026,0.9999976264429625,0.17235053231643513,55.271747418113605,0.1720597743988037
1,1,32,secret,100000,6244,0.9999964290582325,0.2621137070448049,51.63020534693841,0.16585659980773926
1,1,33,secret,100000,6341,0.9999849474142103,0.47290113326108874,46.50459290478567,0.19861054420471191
1,1,34,secret,100000,6247,0.9999977046524496,0.21020480518151577,53.5471472085947,0.17301630973815918
1,1,35,secret,100000,5405,0.9999968308009063,0.15237173291181527,56.34191186452874,0.1636524200439453
1,1,36,secret,100000,5408,0.9999929928859279,0.17575376337118567,55.10190733539855,0.16840052604675293
1,1,37,secret,100000,6273,0.9999906404110663,0.3826581532092828,48.34378057646564,0.18313956260681152
1,1,38,secret,100000,6092,0.9999678749697322,0.6372366354403831,43.91398528164181,0.17700886726379395
1,1,39,secret,100000,5459,0.9999954408513144,0.17354952700741078,55.2115313123782,0.16802501678466797
