pr_n_t,secret_bps,ncc
1,0.08,0.9999997076386716
1,0.15,0.9999994535554286
1,0.21,0.9999992261238356
1,0.32,0.9999988263712486
1,0.39,0.999998566349494
1,0.48,0.9999982275127408
1,0.51,0.9999981082762043
1,0.66,0.9999975903658181
1,0.99,0.9999968831255946
2,0.08,0.9999993396032466
2,0.15,0.9999987157437814
2,0.21,0.9999982008456019
2,0.32,0.9999972642237338
2,0.39,0.9999967186775006
2,0.48,0.9999959226266946
2,0.51,0.9999956742612971
2,0.66,0.9999943698669611
2,0.99,0.9999915717584801
3,0.08,0.9999985782298108
3,0.15,0.9999972555861365
3,0.21,0.9999962844553402
3,0.32,0.9999941740315981
3,0.39,0.9999928425705401
3,0.48,0.9999914115917627
3,0.51,0.9999907419623234
3,0.66,0.9999877584711194
3,0.99,0.9999821501271262
4,0.08,0.9999977593992009
4,0.15,0.9999959910660763
4,0.21,0.9999946641243558
4,0.32,0.9999915057727479
4,0.39,0.9999893143154076
4,0.48,0.9999875336727087
4,0.51,0.9999865941492821
4,0.66,0.9999821309919933
4,0.99,0.9999732975593506
