pr_n_t,secret_bps,prd
1,0.08,0.04690851235469623
1,0.15,0.06400612317255518
1,0.21,0.07611505769270446
1,0.32,0.09355529993046209
1,0.39,0.103512349290766
1,0.48,0.1152811407489942
1,0.51,0.11894361468488818
1,0.66,0.13410691715831224
1,0.99,0.15260158932960272
2,0.08,0.07105519142334035
2,0.15,0.09781197956502706
2,0.21,0.1158510416831169
2,0.32,0.1429732393990179
2,0.39,0.15708836625335296
2,0.48,0.17460267709470176
2,0.51,0.18043678345625777
2,0.66,0.20518986946493104
2,0.99,0.2514126876962676
3,0.08,0.10182712426520475
3,0.15,0.14221060379831293
3,0.21,0.16786645616779983
3,0.32,0.2104108008633316
3,0.39,0.2326286519558794
3,0.48,0.25472438442092127
3,0.51,0.26414592165215645
3,0.66,0.30343745295684516
3,0.99,0.3669465778568417
4,0.08,0.12876226717216793
4,0.15,0.17489297906942158
4,0.21,0.2035097582792233
4,0.32,0.2547022687131234
4,0.39,0.28567527610137866
4,0.48,0.309720384882231
4,0.51,0.32108832932795806
4,0.66,0.3717718277587109
4,0.99,0.45180879380541483
